Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei,BRN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,4100,,,,4000,4000,4000,4000,4000,5000,9000,9100,9050,9050,8750,8800,9700,10700,10700,10000,11000,9000,9000,9000,9250,9250,9250,9250,9250,9250,9250,12100,8000,8200,8000,8000,7521.428571,7158.928571,6796.428571
Bhutan,BTN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,5000,5000,5000,4000,5000,6000,7000,7000,6000,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,6000,6000,7000,7000,7000,7000,8500,8500,8500,9500,10000,10000,10000,10500,10500,10000,11000,11000,11000,11000,10500,10500,10500,10500,10500,10500,9000,9000,9000,9000,9000,9000,8571.428571,8410.714286,8250
Central African Republic,CAF,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,5000,4000,4000,4000,4000,4000,5000,5000,5000,4950,5000,5400,4200,3550,3600,2000,3000,,3000,3000,3150,3150,3150,8150,8150,8150,8150,8150,8000,10150,10000,10000,10550,10951.78571,11353.57143
Canada,CAN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,83000,,,,88000,87000,86000,82000,76000,75000,75700,79800,72700,69950,69950,68500,66100,61600,61600,71000,71000,64000,64000,64000,65722,65700,65700,66000,65700,70200,67500,67500,72000,72400,72000,72000,73271.42857,73960.71429,74650
Central Europe and the Baltics,CEB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,763000,,,,816000,662000,700000,755000,829000,839000,1139000,1064650,1029750,1019730,981920,945000,777800,717800,663800,595000,601000,544000,532000,522000,493193,488712,465900,519910,515860,522010,521590,510860,498000,516745,508000,525000,512840,512399.8214,511959.6429
Switzerland,CHE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,17000,22000,22000,31000,35000,39000,31400,27300,26260,26300,27700,27700,26800,27600,27500,4000,109000,23000,23000,23000,25620,25287,23100,22650,21250,20800,20950,20950,21000,21450,20000,20000,20192.85714,20057.14286,19921.42857
Channel Islands,CHI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,101000,,,,95000,95000,90000,92000,92000,102000,130000,120900,125500,124000,122500,116500,122200,117300,114100,116000,116000,103000,103000,103000,103771,103771,103750,106100,106100,109450,109450,121900,122000,122200,122000,114000,122864.2857,124258.9286,125653.5714
China,CHN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3900000,,,,3900000,3500000,3200000,3160000,3030000,2930000,4130000,4135000,3640000,3820000,3820000,3910000,3810000,3770000,3750000,3755000,3755000,3605000,2885000,2885000,2945000,2945000,2945000,2993000,2993000,2993000,2843000,2695000,2695000,2695000,2535000,2535000,2428714.286,2357642.857,2286571.429
