,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Urban population (% of total population)_y
39,Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,24.8/82.5,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,34.8/6.7,3629.0/1.9,2739.4,69.8,2.6,0.8,2.6,85.2/99.7,39.2/49.5,9.2/10.6,20.6,66.9,18,140,2,166.3/0.9,2202,17,93.9/89.9,83.1/51.1,1.32,-99,93.41,39.95,45.62,59.05,27.18,12.09,38.69,80.08,42.54,4.08,3.81,24.51,26.26,156.97,0.64,27.18,5.03,16.57,24.83,21.01,39.95,70.79,1163.725097,66.09214565,214.52857,7260769,4499440000,11160061000,156.9113459,-5.312331129,2.898633666,8.257320296,6.812339584,362376598,0.389,17.59551656,4.08537368,67.928,66.041,66.947,3.766192107,100907719,106988967,,,36.442
40,Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,50.8/78.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3,31.7/7.6,211.9/0.2,240.2,22.2,4.7,...,...,116.9/116.8,92.7/84.4,40.3/31.4,29.5,118.1,40.7,783,26.2,105.7/1.1,991,19,93.7/90.3,77.9/70.8,0.15,-99,56.87,36,60.23,69.16,34.71,16.91,45.14,70.25,-44.1,3.75,3.54,26.69,28.29,162.87,0.61,34.71,7.32,21.58,33.95,19.86,36,93,2994.281929,57.24532711,753.351739,39341995,34812501416,25844797493,120.2113525,-0.652387927,4.44640778,29.55229085,16.49498583,33502479344,0.548,38.61607889,2.853187726,75.268,66.971,70.952,1.197535353,52293794,52879470,13.59379375,41.4692224,46.682
41,Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,49.1/64.9,113,113,196455,188518,7937,-2932,-~0.0,60.5,-0.1,1.3,14.8/24.0,619.4/1.6,23.7,4.5,6.4,2.3,4.9,100.7/100.5,106.1/110.0,82.6/54.2,28,148.7,68,58,30.7,285.7/7.4,2819,102,99.3/96.9,97.5/96.7,-99,-99,150.21,71.75,68.47,61.46,38.15,10.12,34.55,50.33,62.53,4.66,5.25,21.44,19.04,73.08,1.37,38.15,13.93,26.54,29.69,31.53,71.75,100,13520.24909,46.65030818,221.814,7376512,58739000000,38313000000,109.6376705,0.018997653,6.541953981,54.33711798,24.00008847,19261853887,0.747,50.15505057,2.075935537,81.8,73.9,77.75365854,1.895983869,19565914,18408912,16.79663368,12.47140991,60.105
42,Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,53.3/63.7,104,104,55658,67580,-11922,842,-0.4,63.5,1,1.3,13.6/27.9,837.3/8.1,1.8,2.9,9.5,4.4,5.1,105.3/109.4,117.3/121.0,65.7/58.0,34.8,110.4,68.6,281,34.9,45.1/4.3,250,84,100.0/100.0,99.6/99.8,-99,-99,178.43,62.72,64.61,70.31,49.19,8.85,30.44,28.91,92.19,5.95,6.08,16.81,16.46,60.87,1.64,49.19,16.77,33.66,39.14,41.24,62.72,100,19172.47667,54.38002339,421.8294532,15937325,34948649028,16517160295,109.1667051,1.378390799,8.969574422,42.7242664,18.23611727,2816236487,0.776,41.71487412,1.368614116,84.6,78.4,81.42439024,1.669976921,5429333,4870967,22.37058798,24.01910566,64.652
43,Qatar,WesternAsia,11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,53.1/93.6,154,154,57254,32058,25196,13751,6.6,99.2,6,2,13.9/2.8,1687.6/75.5,1.5,7.2,2.2,2,3.6,103.6/102.4,103.6/82.0,43.9/6.3,0,153.6,92.9,39,0,107.9/49.7,9166,846,100.0/100.0,98.0/98.0,-99,-99,132.37,111.28,84.3,66.14,69.2,6.19,32.97,73.29,9.26,9.49,9.19,10.54,10.88,47.11,2.12,69.2,66.81,68.06,56.09,72.73,111.28,100,42663.33683,17.29221678,10970.08988,29949181,17527197802,29715109890,115.8588034,3.849280801,2.607428655,51.04242783,58.38846648,292252,0.615,37.25700273,0.394878914,81.743,78.83,79.981,,662995,2061729,,,99.078
44,Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38,59.7,5,24.7,70.3,3.6,50.2/71.9,104,104,495418,406182,89236,105871,0.4,82.5,0.7,1.2,13.5/20.1,1327.3/2.6,8,3,7.4,2.2,5.1,98.7/99.3,98.4/99.3,80.2/104.8,17,118.5,89.9,111,63.5,587.2/11.7,2023,223,99.7/87.9,100.0/100.0,-99,-99,162.49,102.38,74.73,83.2,75.41,12.38,34.18,52.73,61.2,2.04,2.51,49.1,39.9,85.47,1.17,75.41,22.02,49.82,88.52,44.62,102.38,100,22899.67996,37.13234993,11511.80121,82818983,88720200000,1.24753E+11,113.0508001,4.632725578,7.603863627,40.93420694,37.0355541,1.66675E+11,0.845,36.18671087,1.944455907,85.7,79.7,82.62682927,2.568843535,25632820,25729091,14.49381853,28.34019134,81.503
45,Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,47.3/64.5,100,100,63581,74605,-11024,-2096,-0.6,54.6,~0.0,1.5,15.3/24.9,226.9/1.2,3.2,8.7,5.6,2.7,3.1,89.0/90.5,92.0/92.5,59.0/47.8,20.7,107.1,55.8,104,29.5,70.0/3.6,1109,68,100.0/100.0,92.2/63.3,-99,-99,143.04,53.44,72.05,53.11,35.63,10.79,31.97,50.9,64.45,4.89,4.76,20.43,20.99,83.3,1.2,35.63,9.59,23.15,29.05,30.16,53.44,100,8947.499841,49.99522537,2.8045,4423249,24570199855,15287952958,113.9463616,-2.789943223,5.157888308,41.4700878,21.30264786,5558653635,0.601,43.59406394,1.339021211,79.1,71.7,75.3097561,1.719540549,10053129,9534161,15.49142862,19.79584808,53.936
46,Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,56.3/71.3,120,120,285491,182257,103234,69000,0.1,74,-0.1,1.7,17.6/21.1,11643.3/8.1,418.4,8.3,7.1,3.3,3.9,100.9/100.1,103.4/105.5,88.3/72.9,15.8,160,73.4,235,49.8,1705.3/11.9,54829,208,98.9/91.2,77.0/58.7,-99,-99,85.93,48.27,53.95,56.4,42.01,13.55,48.57,63.04,10.69,5.75,6.31,17.39,15.85,193.91,0.52,42.01,17.58,30.3,33.58,43.85,48.27,100,8827.816298,46.83702707,6845.22951,89373638,56748830000,87439810000,168.1752389,2.060068773,5.344577879,26.09088098,28.91199348,10483802377,0.729,20.78564336,3.683329444,77.6,67.51,72.43195122,4.23340737,77546481,66950259,10.28840567,2.072837276,74.292
47,Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46,51.8,5.9,22.7,71.4,5.5,20.0/78.5,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,2.7,25.2/5.6,10185.9/32.3,70.2,13,4.7,2.6,...,111.1/107.9,93.7/122.6,61.8/64.4,19.9,176.6,69.6,131,0.5,601.0/19.5,25904,287,97.0/97.0,100.0/100.0,...,-99,146.41,138.05,76.35,60.41,48.37,2.85,36.31,74.18,17.96,7.29,8.01,13.72,12.49,21.07,4.75,48.37,14.36,32.07,40.54,30.22,138.05,99.93,14520.2111,39.79483249,867.640758,37503000,17446931307,54304994785,118.0299772,1.519677983,5.23025319,34.85306047,34.37287818,261725653,0.585,29.34212443,-0.83819458,76.487,73.671,74.874,10.25135635,14125194,18973953,3.384836237,2.026514449,83.622
48,Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,43.4/59.9,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,16.5/24.5,807.4/9.1,254.1,9.8,10.4,2.5,4.2,101.2/101.5,97.4/96.0,66.9/50.2,34.4,120.5,65.3,71,31.1,37.7/4.3,393,62,99.4/98.9,98.2/94.2,0.9,-99,133.43,40.8,61.38,53.86,33.79,17.87,29.93,55.29,82.66,3.14,3.33,31.88,30.07,142.63,0.7,33.79,7.25,21.07,24.96,27.2,40.8,100,5116.376951,50.87652416,7.355192,2442731,5943301157,4802207665,138.6654534,-5.264526002,8.433958143,50.54078791,13.00062879,396951920,0.755,57.13207548,3.131062486,78.1,73.1,75.53902439,1.959355883,3580264,3440594,,,55.942
49,Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,52239,~0.0,26.4,73.6,0.3,17,82.6,2,57.8/76.1,112,112,329871,283009,46862,57922,1.7,100,2,1.2,15.0/19.5,2543.6/45.4,~0.0,2.1,4.9,1.9,2.9,-99,-99,-99,23.8,146.1,82.1,293,23.1,56.4/10.2,27,209,100.0/...,100.0/...,-99,-99,86.5,92.7,83.42,69.87,82.41,21.63,43.39,37.04,-71.47,2.75,3.65,36.41,27.39,134.33,0.74,82.41,70.22,76.57,71.68,58.33,92.7,100,45178.69351,29.52086364,5062.992579,38094990,1.6939E+11,1.80034E+11,113.2659229,16.26382316,4.440382868,170.7053754,54.51476246,1.47179E+11,0.884,145.3071953,0.57626031,85.4,80.9,83.09512195,3.154878282,2674905,2937348,14.0473782,33.45746353,100
50,Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,51.4/68.0,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,15.4/21.8,177.2/3.3,2.7,5.7,8.1,3.4,4.2,99.2/100.2,92.8/92.1,64.6/41.8,20,122.3,85,54,40.3,30.7/5.6,264,121,100.0/100.0,99.4/98.2,-99,-99,152.55,64.75,69.82,62.63,44.9,9.85,36.03,43.51,65.06,5.62,5.57,17.78,17.94,61.59,1.62,44.9,16.49,31.29,38.84,33.17,64.75,100,14893.34749,43.71688959,,7925,10557099768,9556991730,109.5903321,-1.92124039,6.742534786,95.17070123,25.14524382,8812917854,0.694,92.96058585,1.311945882,80.7,73.8,77.16585366,1.101933258,2793675,2645557,18.71187796,18.52460926,53.751
51,Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,51.8/62.2,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,15.0/26.3,236.0/11.4,0.6,2.5,9.2,2.8,5.5,99.4/99.2,110.5/110.8,98.5/68.2,36.7,113.2,73.1,143,62,12.8/6.2,154,135,99.7/99.4,99.1/99.1,-99,-99,175.45,78.23,75.95,64.35,53.24,8.34,26.48,26.37,60.5,4.2,4.21,23.82,23.77,60.26,1.66,53.24,14.06,34.46,43.48,43.13,78.23,100,20396.04433,51.34433803,0.5664,1087075,8256449247,5649619234,107.4021101,6.152710431,8.18701759,82.96492266,29.04990067,1755384350,0.788,73.96603274,1.429107433,84,78.2,81.02926829,0.982047347,1038723,1027665,18.39038543,11.10803527,54.273
